INDICATOR|CODE
average years of secondary schooling, 15-19, female|BAR_SEC_SCHL_1519_FE
average years of secondary schooling, 15-19, total|BAR_SEC_SCHL_1519
average years of secondary schooling, 15+, female|BAR_SEC_SCHL_15UP_FE
average years of secondary schooling, 15+, total|BAR_SEC_SCHL_15UP
average years of secondary schooling, 20-24, female|BAR_SEC_SCHL_2024_FE
average years of secondary schooling, 20-24, total|BAR_SEC_SCHL_2024
average years of secondary schooling, 25-29, female|BAR_SEC_SCHL_2529_FE
average years of secondary schooling, 25-29, total|BAR_SEC_SCHL_2529
average years of secondary schooling, 25+, female|BAR_SEC_SCHL_25UP_FE
average years of secondary schooling, 25+, total|BAR_SEC_SCHL_25UP
average years of secondary schooling, 30-34, female|BAR_SEC_SCHL_3034_FE
average years of secondary schooling, 30-34, total|BAR_SEC_SCHL_3034
average years of secondary schooling, 35-39, female|BAR_SEC_SCHL_3539_FE
average years of secondary schooling, 35-39, total|BAR_SEC_SCHL_3539
average years of secondary schooling, 40-44, female|BAR_SEC_SCHL_4044_FE
average years of secondary schooling, 40-44, total|BAR_SEC_SCHL_4044
average years of secondary schooling, 45-49, female|BAR_SEC_SCHL_4549_FE
average years of secondary schooling, 45-49, total|BAR_SEC_SCHL_4549
average years of secondary schooling, 50-54, female|BAR_SEC_SCHL_5054_FE
average years of secondary schooling, 50-54, total|BAR_SEC_SCHL_5054
average years of secondary schooling, 55-59, female|BAR_SEC_SCHL_5559_FE
average years of secondary schooling, 55-59, total|BAR_SEC_SCHL_5559
average years of secondary schooling, 60-64, female|BAR_SEC_SCHL_6064_FE
average years of secondary schooling, 60-64, total|BAR_SEC_SCHL_6064
average years of secondary schooling, 65-69, female|BAR_SEC_SCHL_6569_FE
average years of secondary schooling, 65-69, total|BAR_SEC_SCHL_6569
average years of secondary schooling, 70-74, female|BAR_SEC_SCHL_7074_FE
average years of secondary schooling, 70-74, total|BAR_SEC_SCHL_7074
average years of secondary schooling, 75+, female|BAR_SEC_SCHL_75UP_FE
average years of secondary schooling, 75+, total|BAR_SEC_SCHL_75UP
average years of tertiary schooling, 15-19, female|BAR_TER_SCHL_1519_FE
average years of tertiary schooling, 15-19, total|BAR_TER_SCHL_1519
average years of tertiary schooling, 15+, female|BAR_TER_SCHL_15UP_FE
average years of tertiary schooling, 15+, total|BAR_TER_SCHL_15UP
average years of tertiary schooling, 20-24, female|BAR_TER_SCHL_2024_FE
average years of tertiary schooling, 20-24, total|BAR_TER_SCHL_2024
average years of tertiary schooling, 25-29, female|BAR_TER_SCHL_2529_FE
average years of tertiary schooling, 25-29, total|BAR_TER_SCHL_2529
average years of tertiary schooling, 25+, female|BAR_TER_SCHL_25UP_FE
average years of tertiary schooling, 25+, total|BAR_TER_SCHL_25UP
average years of tertiary schooling, 30-34, female|BAR_TER_SCHL_3034_FE
average years of tertiary schooling, 30-34, total|BAR_TER_SCHL_3034
average years of tertiary schooling, 35-39, female|BAR_TER_SCHL_3539_FE
average years of tertiary schooling, 35-39, total|BAR_TER_SCHL_3539
average years of tertiary schooling, 40-44, female|BAR_TER_SCHL_4044_FE
average years of tertiary schooling, 40-44, total|BAR_TER_SCHL_4044
average years of tertiary schooling, 45-49, female|BAR_TER_SCHL_4549_FE
average years of tertiary schooling, 45-49, total|BAR_TER_SCHL_4549
average years of tertiary schooling, 50-54, female|BAR_TER_SCHL_5054_FE
average years of tertiary schooling, 50-54, total|BAR_TER_SCHL_5054
average years of tertiary schooling, 55-59, female|BAR_TER_SCHL_5559_FE
average years of tertiary schooling, 55-59, total|BAR_TER_SCHL_5559
average years of tertiary schooling, 60-64, female|BAR_TER_SCHL_6064_FE
average years of tertiary schooling, 60-64, total|BAR_TER_SCHL_6064
average years of tertiary schooling, 65-69, female|BAR_TER_SCHL_6569_FE
average years of tertiary schooling, 65-69, total|BAR_TER_SCHL_6569
average years of tertiary schooling, 70-74, female|BAR_TER_SCHL_7074_FE
average years of tertiary schooling, 70-74, total|BAR_TER_SCHL_7074
average years of tertiary schooling, 75+, female|BAR_TER_SCHL_75UP_FE
average years of tertiary schooling, 75+, total|BAR_TER_SCHL_75UP
average years of total schooling, 15-19, female|BAR_SCHL_1519_FE
average years of total schooling, 15-19, total|BAR_SCHL_1519
average years of total schooling, 15+, female|BAR_SCHL_15UP_FE
average years of total schooling, 15+, total|BAR_SCHL_15UP
average years of total schooling, 20-24, female|BAR_SCHL_2024_FE
average years of total schooling, 20-24, total|BAR_SCHL_2024
average years of total schooling, 25-29, female|BAR_SCHL_2529_FE
average years of total schooling, 25-29, total|BAR_SCHL_2529
average years of total schooling, 25+, female|BAR_SCHL_25UP_FE
average years of total schooling, 25+, total|BAR_SCHL_25UP
average years of total schooling, 30-34, female|BAR_SCHL_3034_FE
average years of total schooling, 30-34, total|BAR_SCHL_3034
average years of total schooling, 35-39, female|BAR_SCHL_3539_FE
average years of total schooling, 35-39, total|BAR_SCHL_3539
average years of total schooling, 40-44, female|BAR_SCHL_4044_FE
average years of total schooling, 40-44, total|BAR_SCHL_4044
average years of total schooling, 45-49, female|BAR_SCHL_4549_FE
average years of total schooling, 45-49, total|BAR_SCHL_4549
average years of total schooling, 50-54, female|BAR_SCHL_5054_FE
average years of total schooling, 50-54, total|BAR_SCHL_5054
average years of total schooling, 55-59, female|BAR_SCHL_5559_FE
average years of total schooling, 55-59, total|BAR_SCHL_5559
average years of total schooling, 60-64, female|BAR_SCHL_6064_FE
average years of total schooling, 60-64, total|BAR_SCHL_6064
average years of total schooling, 65-69, female|BAR_SCHL_6569_FE
average years of total schooling, 65-69, total|BAR_SCHL_6569
average years of total schooling, 70-74, female|BAR_SCHL_7074_FE
average years of total schooling, 70-74, total|BAR_SCHL_7074
average years of total schooling, 75+, female|BAR_SCHL_75UP_FE
average years of total schooling, 75+, total|BAR_SCHL_75UP
Current expenditure on education as % of GNI|UIS_XGNP_FSGOV_FNCUR_FFD
DHS: Average years of schooling by age group. Age 15-19|HH_DHS_YRS_1519
DHS: Average years of schooling by age group. Age 15-19. Female|HH_DHS_YRS_1519_F
DHS: Average years of schooling by age group. Age 15-19. Male|HH_DHS_YRS_1519_M
DHS: Average years of schooling by age group. Age 15-19. Quintile 1|HH_DHS_YRS_1519_Q1
DHS: Average years of schooling by age group. Age 15-19. Quintile 2|HH_DHS_YRS_1519_Q2
DHS: Average years of schooling by age group. Age 15-19. Quintile 3|HH_DHS_YRS_1519_Q3
DHS: Average years of schooling by age group. Age 15-19. Quintile 4|HH_DHS_YRS_1519_Q4
DHS: Average years of schooling by age group. Age 15-19. Quintile 5|HH_DHS_YRS_1519_Q5
DHS: Average years of schooling by age group. Age 15-19. Rural|HH_DHS_YRS_1519_R
DHS: Average years of schooling by age group. Age 15-19. Urban|HH_DHS_YRS_1519_U
DHS: Gini coefficient of average years of schooling. Age 15+|HH_DHS_YRS_15UP_GIN
DHS: Gini coefficient of average years of schooling. Age 15+. Female|HH_DHS_YRS_15UP_GIN_F
DHS: Gini coefficient of average years of schooling. Age 15+. Male|HH_DHS_YRS_15UP_GIN_M
DHS: Gini coefficient of average years of schooling. Age 15+. Quintile 1|HH_DHS_YRS_15UP_GIN_Q1
DHS: Gini coefficient of average years of schooling. Age 15+. Quintile 2|HH_DHS_YRS_15UP_GIN_Q2
DHS: Gini coefficient of average years of schooling. Age 15+. Quintile 3|HH_DHS_YRS_15UP_GIN_Q3
DHS: Gini coefficient of average years of schooling. Age 15+. Quintile 4|HH_DHS_YRS_15UP_GIN_Q4
DHS: Gini coefficient of average years of schooling. Age 15+. Quintile 5|HH_DHS_YRS_15UP_GIN_Q5
DHS: Gini coefficient of average years of schooling. Age 15+. Rural|HH_DHS_YRS_15UP_GIN_R
DHS: Gini coefficient of average years of schooling. Age 15+. Urban|HH_DHS_YRS_15UP_GIN_U
DHS: Gross attendance rate. Post Secondary|HH_DHS_GAR_456
DHS: Gross attendance rate. Post Secondary. Female|HH_DHS_GAR_456_F
DHS: Gross attendance rate. Post Secondary. Male|HH_DHS_GAR_456_M
DHS: Gross attendance rate. Post Secondary. Quintile 1|HH_DHS_GAR_456_Q1
DHS: Gross attendance rate. Post Secondary. Quintile 2|HH_DHS_GAR_456_Q2
DHS: Gross attendance rate. Post Secondary. Quintile 3|HH_DHS_GAR_456_Q3
DHS: Gross attendance rate. Post Secondary. Quintile 4|HH_DHS_GAR_456_Q4
DHS: Gross attendance rate. Post Secondary. Quintile 5|HH_DHS_GAR_456_Q5
DHS: Gross attendance rate. Post Secondary. Rural|HH_DHS_GAR_456_R
DHS: Gross attendance rate. Post Secondary. Urban|HH_DHS_GAR_456_U
DHS: Net attendance rate. Primary|HH_DHS_NAR_1
DHS: Net attendance rate. Primary. Female|HH_DHS_NAR_1_F
DHS: Net attendance rate. Primary. Male|HH_DHS_NAR_1_M
DHS: Net attendance rate. Primary. Quintile 1|HH_DHS_NAR_1_Q1
DHS: Net attendance rate. Primary. Quintile 2|HH_DHS_NAR_1_Q2
DHS: Net attendance rate. Primary. Quintile 3|HH_DHS_NAR_1_Q3
DHS: Net attendance rate. Primary. Quintile 4|HH_DHS_NAR_1_Q4
DHS: Net attendance rate. Primary. Quintile 5|HH_DHS_NAR_1_Q5
DHS: Net attendance rate. Primary. Rural|HH_DHS_NAR_1_R
DHS: Net attendance rate. Primary. Urban|HH_DHS_NAR_1_U
DHS: Net attendance rate. Secondary|HH_DHS_NAR_23
DHS: Net attendance rate. Secondary. Female|HH_DHS_NAR_23_F
DHS: Net attendance rate. Secondary. Male|HH_DHS_NAR_23_M
DHS: Net attendance rate. Secondary. Quintile 1|HH_DHS_NAR_23_Q1
DHS: Net attendance rate. Secondary. Quintile 2|HH_DHS_NAR_23_Q2
DHS: Net attendance rate. Secondary. Quintile 3|HH_DHS_NAR_23_Q3
DHS: Net attendance rate. Secondary. Quintile 4|HH_DHS_NAR_23_Q4
DHS: Net attendance rate. Secondary. Quintile 5|HH_DHS_NAR_23_Q5
DHS: Net attendance rate. Secondary. Rural|HH_DHS_NAR_23_R
DHS: Net attendance rate. Secondary. Urban|HH_DHS_NAR_23_U
DHS: Net intake rate for the first grade of primary education|HH_DHS_NIR_1
DHS: Net intake rate for the first grade of primary education. Female|HH_DHS_NIR_1_F
DHS: Net intake rate for the first grade of primary education. Male|HH_DHS_NIR_1_M
DHS: Net intake rate for the first grade of primary education. Quintile 1|HH_DHS_NIR_1_Q1
DHS: Net intake rate for the first grade of primary education. Quintile 2|HH_DHS_NIR_1_Q2
DHS: Net intake rate for the first grade of primary education. Quintile 3|HH_DHS_NIR_1_Q3
DHS: Net intake rate for the first grade of primary education. Quintile 4|HH_DHS_NIR_1_Q4
DHS: Net intake rate for the first grade of primary education. Quintile 5|HH_DHS_NIR_1_Q5
DHS: Net intake rate for the first grade of primary education. Rural|HH_DHS_NIR_1_R
DHS: Net intake rate for the first grade of primary education. Urban|HH_DHS_NIR_1_U
DHS: Primary completion rate|HH_DHS_PCR
DHS: Primary completion rate. Female|HH_DHS_PCR_F
DHS: Primary completion rate. Male|HH_DHS_PCR_M
DHS: Primary completion rate. Quintile 1|HH_DHS_PCR_Q1
DHS: Primary completion rate. Quintile 2|HH_DHS_PCR_Q2
DHS: Primary completion rate. Quintile 3|HH_DHS_PCR_Q3
DHS: Primary completion rate. Quintile 4|HH_DHS_PCR_Q4
DHS: Primary completion rate. Quintile 5|HH_DHS_PCR_Q5
DHS: Primary completion rate. Rural|HH_DHS_PCR_R
DHS: Primary completion rate. Urban|HH_DHS_PCR_U
DHS: Proportion of out-of-school. Primary|HH_DHS_OOS_1
DHS: Proportion of out-of-school. Primary. Female|HH_DHS_OOS_1_F
DHS: Proportion of out-of-school. Primary. Male|HH_DHS_OOS_1_M
DHS: Proportion of out-of-school. Primary. Quintile 1|HH_DHS_OOS_1_Q1
DHS: Proportion of out-of-school. Primary. Quintile 2|HH_DHS_OOS_1_Q2
DHS: Proportion of out-of-school. Primary. Quintile 3|HH_DHS_OOS_1_Q3
DHS: Proportion of out-of-school. Primary. Quintile 4|HH_DHS_OOS_1_Q4
DHS: Proportion of out-of-school. Primary. Quintile 5|HH_DHS_OOS_1_Q5
DHS: Proportion of out-of-school. Primary. Rural|HH_DHS_OOS_1_R
DHS: Proportion of out-of-school. Primary. Urban|HH_DHS_OOS_1_U
DHS: Secondary completion rate|HH_DHS_SCR
DHS: Secondary completion rate. Female|HH_DHS_SCR_F
DHS: Secondary completion rate. Male|HH_DHS_SCR_M
DHS: Secondary completion rate. Quintile 1|HH_DHS_SCR_Q1
DHS: Secondary completion rate. Quintile 2|HH_DHS_SCR_Q2
DHS: Secondary completion rate. Quintile 3|HH_DHS_SCR_Q3
DHS: Secondary completion rate. Quintile 4|HH_DHS_SCR_Q4
DHS: Secondary completion rate. Quintile 5|HH_DHS_SCR_Q5
DHS: Secondary completion rate. Rural|HH_DHS_SCR_R
DHS: Secondary completion rate. Urban|HH_DHS_SCR_U
DHS: Transition rate. Primary to Secondary|HH_DHS_TR_12
DHS: Transition rate. Primary to Secondary. Female|HH_DHS_TR_12_F
DHS: Transition rate. Primary to Secondary. Male|HH_DHS_TR_12_M
DHS: Transition rate. Primary to Secondary. Quintile 1|HH_DHS_TR_12_Q1
DHS: Transition rate. Primary to Secondary. Quintile 2|HH_DHS_TR_12_Q2
DHS: Transition rate. Primary to Secondary. Quintile 3|HH_DHS_TR_12_Q3
DHS: Transition rate. Primary to Secondary. Quintile 4|HH_DHS_TR_12_Q4
DHS: Transition rate. Primary to Secondary. Quintile 5|HH_DHS_TR_12_Q5
DHS: Transition rate. Primary to Secondary. Rural|HH_DHS_TR_12_R
DHS: Transition rate. Primary to Secondary. Urban|HH_DHS_TR_12_U
DHS: Typology of out-of-school children. Primary. Dropped out|HH_DHS_OOST_DO
DHS: Typology of out-of-school children. Primary. Dropped out. Female|HH_DHS_OOST_DO_F
DHS: Typology of out-of-school children. Primary. Dropped out. Male|HH_DHS_OOST_DO_M
DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 1|HH_DHS_OOST_DO_Q1
DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 2|HH_DHS_OOST_DO_Q2
DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 3|HH_DHS_OOST_DO_Q3
DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 4|HH_DHS_OOST_DO_Q4
DHS: Typology of out-of-school children. Primary. Dropped out. Quintile 5|HH_DHS_OOST_DO_Q5
DHS: Typology of out-of-school children. Primary. Dropped out. Rural|HH_DHS_OOST_DO_R
DHS: Typology of out-of-school children. Primary. Dropped out. Urban|HH_DHS_OOST_DO_U
DHS: Typology of out-of-school children. Primary. Late entry|HH_DHS_OOST_L
DHS: Typology of out-of-school children. Primary. Late entry. Female|HH_DHS_OOST_L_F
DHS: Typology of out-of-school children. Primary. Late entry. Male|HH_DHS_OOST_L_M
DHS: Typology of out-of-school children. Primary. Late entry. Quintile 1|HH_DHS_OOST_L_Q1
DHS: Typology of out-of-school children. Primary. Late entry. Quintile 2|HH_DHS_OOST_L_Q2
DHS: Typology of out-of-school children. Primary. Late entry. Quintile 3|HH_DHS_OOST_L_Q3
DHS: Typology of out-of-school children. Primary. Late entry. Quintile 4|HH_DHS_OOST_L_Q4
DHS: Typology of out-of-school children. Primary. Late entry. Quintile 5|HH_DHS_OOST_L_Q5
DHS: Typology of out-of-school children. Primary. Late entry. Rural|HH_DHS_OOST_L_R
DHS: Typology of out-of-school children. Primary. Late entry. Urban|HH_DHS_OOST_L_U
DHS: Typology of out-of-school children. Primary. Never in school|HH_DHS_OOST_X
DHS: Typology of out-of-school children. Primary. Never in school. Female|HH_DHS_OOST_X_F
DHS: Typology of out-of-school children. Primary. Never in school. Male|HH_DHS_OOST_X_M
DHS: Typology of out-of-school children. Primary. Never in school. Quintile 1|HH_DHS_OOST_X_Q1
DHS: Typology of out-of-school children. Primary. Never in school. Quintile 2|HH_DHS_OOST_X_Q2
DHS: Typology of out-of-school children. Primary. Never in school. Quintile 3|HH_DHS_OOST_X_Q3
DHS: Typology of out-of-school children. Primary. Never in school. Quintile 4|HH_DHS_OOST_X_Q4
DHS: Typology of out-of-school children. Primary. Never in school. Quintile 5|HH_DHS_OOST_X_Q5
DHS: Typology of out-of-school children. Primary. Never in school. Rural|HH_DHS_OOST_X_R
DHS: Typology of out-of-school children. Primary. Never in school. Urban|HH_DHS_OOST_X_U
Distribution of students (%).   ISCED Level 5B|UIS_TEP_5_B
Distribution of students (%).   ISCED Level 6|UIS_TEP_6
Distribution of students (%).  ISCED Level 5A|UIS_TEP_5_A
Drop-out rate (%), primary|SE_PRM_DROP_ZS
Drop-out rate (%), primary, female|SE_PRM_DROP_FE_ZS
Drop-out rate (%), primary, male|SE_PRM_DROP_MA_ZS
Drop-out rate. Primary. Grade 1. Female|UIS_DR_1_G1_F
Drop-out rate. Primary. Grade 1. Male|UIS_DR_1_G1_M
Drop-out rate. Primary. Grade 1. Total|UIS_DR_1_G1
Drop-out rate. Primary. Grade 2. Female|UIS_DR_1_G2_F
Drop-out rate. Primary. Grade 2. Male|UIS_DR_1_G2_M
Drop-out rate. Primary. Grade 2. Total|UIS_DR_1_G2
Drop-out rate. Primary. Grade 3. Female|UIS_DR_1_G3_F
Drop-out rate. Primary. Grade 3. Male|UIS_DR_1_G3_M
Drop-out rate. Primary. Grade 3. Total|UIS_DR_1_G3
Drop-out rate. Primary. Grade 4. Female|UIS_DR_1_G4_F
Drop-out rate. Primary. Grade 4. Male|UIS_DR_1_G4_M
Drop-out rate. Primary. Grade 4. Total|UIS_DR_1_G4
Drop-out rate. Primary. Grade 5. Female|UIS_DR_1_G5_F
Drop-out rate. Primary. Grade 5. Male|UIS_DR_1_G5_M
Drop-out rate. Primary. Grade 5. Total|UIS_DR_1_G5
Drop-out rate. Primary. Grade 6. Female|UIS_DR_1_G6_F
Drop-out rate. Primary. Grade 6. Male|UIS_DR_1_G6_M
Drop-out rate. Primary. Grade 6. Total|UIS_DR_1_G6
Drop-out rate. Primary. Grade 7. Female|UIS_DR_1_G7_F
Drop-out rate. Primary. Grade 7. Male|UIS_DR_1_G7_M
Drop-out rate. Primary. Grade 7. Total|UIS_DR_1_G7
Duration of 2A lower secondary|SE_SEC_DURS_LO
Duration of 2A lower secondary|UIS_THDUR_2_A_GPV
Duration of 3A upper secondary|UIS_THDUR_3_A_GPV
Duration of 4A post-secondary|UIS_THDUR_4_A_GPV
Duration of education, compulsory|SE_COM_DURS
Duration of education, upper secondary|SE_SEC_DURS_UP
Duration of pre-primary|UIS_THDUR_0
Educational expenditure in lower secondary as % of total educational expenditure|UIS_XPUBP_2
Educational expenditure in post secondary as % of total educational expenditure|UIS_XPUBP_4
Educational expenditure in pre-primary as % of total educational expenditure|UIS_XPUBP_0
Educational expenditure in upper secondary as % of total educational expenditure|UIS_XPUBP_3
Educational expenditure not allocated by level as % of total educational expenditure|UIS_XPUBP_UK
Educational expenditure on capital as a % of total educational expenditure on public institutions. ISCED 1,2,3,4.|UIS_XSPENDP_1234_FDPUB_FNCAP
Educational expenditure on capital as a % of total educational expenditure on public institutions. Tertiary.|UIS_XSPENDP_56_FDPUB_FNCAP
Educational expenditure on other current expenditures as a % of total educational expenditure on public institutions. ISCED 1,2,3,4.|UIS_XSPENDP_1234_FDPUB_FNNONS
Educational expenditure on other current expenditures as a % of total educational expenditure on public institutions. Tertiary.|UIS_XSPENDP_56_FDPUB_FNNONS
Educational expenditure on salaries as a % of total educational expenditure on public institutions. ISCED 1,2,3,4.|UIS_XSPENDP_1234_FDPUB_FNS
Educational expenditure on salaries as a % of total educational expenditure on public institutions. Tertiary.|UIS_XSPENDP_56_FDPUB_FNS
Educational expenditure on total current expenditures as a % of total educational expenditure on public institutions. ISCED 1,2,3,4.|UIS_XSPENDP_1234_FDPUB_FNCUR
Educational expenditure on total current expenditures as a % of total educational expenditure on public institutions. Tertiary.|UIS_XSPENDP_56_FDPUB_FNCUR
Effective transition rate from primary (ISCED 1) to secondary (ISCED 2). General programmes (%). Female|UIS_TRANRA_23_GPV_F
Effective transition rate from primary (ISCED 1) to secondary (ISCED 2). General programmes (%). Male|UIS_TRANRA_23_GPV_M
Effective transition rate from primary (ISCED 1) to secondary (ISCED 2). General programmes (%). Total|UIS_TRANRA_23_GPV
Elderly (65+) literacy rate (%). Female|UIS_LR_AG65_F
Elderly (65+) literacy rate (%). Male|UIS_LR_AG65_M
Elderly (65+) literacy rate (%). Total|UIS_LR_AG65
Elderly illiterate population. % female|UIS_LPP_AG65
Elderly illiterate population. Female|UIS_LP_AG65_F
Elderly illiterate population. Male|UIS_LP_AG65_M
Elderly illiterate population. Total|UIS_LP_AG65
Ending age of compulsory education|UIS_CEAGEE_1
Ending month of the academic year (Questionnaire A)|UIS_AY_EM
Ending year of the academic year (Questionnaire A)|UIS_AY_EY
Enrolment in 5A tertiary. Public and private. Full and part time. Female|UIS_E_5_A_F
Enrolment in 5A tertiary. Public and private. Full and part time. Total|UIS_E_5_A
Enrolment in 5B tertiary. Public and private. Full and part time. Female|UIS_E_5_B_F
Enrolment in 5B tertiary. Public and private. Full and part time. Total|UIS_E_5_B
Enrolment in 6 tertiary. Public and private. Full and part time. Female|UIS_E_6_F
Enrolment in 6 tertiary. Public and private. Full and part time. Total|UIS_E_6
Enrolment in agriculture. Tertiary. Female|UIS_E_56_F600_F
Enrolment in agriculture. Tertiary. Total|UIS_E_56_F600
Enrolment in education. Tertiary.  Female|UIS_E_56_F140_F
Enrolment in education. Tertiary. Total|UIS_E_56_F140
Enrolment in engineering, manufacturing and construction. Tertiary.  Female|UIS_E_56_F500_F
Enrolment in engineering, manufacturing and construction. Tertiary. Total|UIS_E_56_F500
Enrolment in general programmes. Tertiary.  Female|UIS_E_56_FUK2_F
Enrolment in general programmes. Tertiary. Total|UIS_E_56_FUK2
Enrolment in health and welfare. Tertiary.  Female|UIS_E_56_F700_F
Enrolment in health and welfare. Tertiary. Total|UIS_E_56_F700
Enrolment in humanities and arts. Tertiary.  Female|UIS_E_56_F200_F
Enrolment in humanities and arts. Tertiary. Total|UIS_E_56_F200
Enrolment in lower secondary. Public and private. All programmes. Female|UIS_E_2_F
Enrolment in lower secondary. Public and private. All programmes. Total|UIS_E_2
Enrolment in lower secondary. Public and private. General programmes. Female|UIS_E_2_GPV_F
Enrolment in lower secondary. Public and private. General programmes. Total|UIS_E_2_GPV
Enrolment in lower secondary. Public and private. Technical/vocational programmes. Female|UIS_E_2_V_F
Enrolment in lower secondary. Public and private. Technical/vocational programmes. Total|UIS_E_2_V
Enrolment in lower secondary. Public. All programmes. Female|UIS_E_2_PU_F
Enrolment in lower secondary. Public. All programmes. Total|UIS_E_2_PU
Enrolment in lower secondary. Public. General programmes. Female|UIS_E_2_GPV_PU_F
Enrolment in lower secondary. Public. General programmes. Total|UIS_E_2_GPV_PU
Enrolment in lower secondary. Public. Technical/vocational programmes. Female|UIS_E_2_V_PU_F
Enrolment in lower secondary. Public. Technical/vocational programmes. Total|UIS_E_2_V_PU
Enrolment in post-secondary non tertiary. Public and private. All programmes. Female|UIS_E_4_F
Enrolment in post-secondary non tertiary. Public and private. All programmes. Total|UIS_E_4
Enrolment in post-secondary non tertiary. Public. All programmes. Female|UIS_E_4_PU_F
Enrolment in post-secondary non tertiary. Public. All programmes. Total|UIS_E_4_PU
Enrolment in pre-primary. Private|UIS_E_0_PR
Enrolment in pre-primary. Public and private. All programmes. Female|SE_PRE_ENRL_FE
Enrolment in pre-primary. Public and private. All programmes. Male|SE_PRE_ENRL_MA
Enrolment in pre-primary. Public and private. All programmes. Total|SE_PRE_ENRL
Enrolment in pre-primary. Public. All programmes. Female|UIS_E_0_PU_F
Enrolment in pre-primary. Public. All programmes. Total|UIS_E_0_PU
Enrolment in primary. Grade 1.  Female|UIS_E_1_G1_F
Enrolment in primary. Grade 1.  Total|UIS_E_1_G1
Enrolment in primary. Grade 2.  Female|UIS_E_1_G2_F
Enrolment in primary. Grade 2.  Total|UIS_E_1_G2
Enrolment in primary. Grade 3.  Female|UIS_E_1_G3_F
Enrolment in primary. Grade 3.  Total|UIS_E_1_G3
Enrolment in primary. Grade 4.  Female|UIS_E_1_G4_F
Enrolment in primary. Grade 4.  Total|UIS_E_1_G4
Enrolment in primary. Grade 5.  Female|UIS_E_1_G5_F
Enrolment in primary. Grade 5.  Total|UIS_E_1_G5
Enrolment in primary. Grade 6.  Female|UIS_E_1_G6_F
Enrolment in primary. Grade 6.  Total|UIS_E_1_G6
Enrolment in primary. Grade 7.  Female|UIS_E_1_G7_F
Enrolment in primary. Grade 7.  Total|UIS_E_1_G7
Enrolment in primary. Grade unspecified.  Female|UIS_E_1_GUK_F
Enrolment in primary. Grade unspecified.  Total|UIS_E_1_GUK
Enrolment in primary. Private|UIS_E_1_PR
Enrolment in primary. Public. All programmes. Female|UIS_E_1_PU_F
Enrolment in primary. Public. All programmes. Total|UIS_E_1_PU
Enrolment in science. Tertiary.  Female|UIS_E_56_F400_F
Enrolment in science. Tertiary. Total|UIS_E_56_F400
Enrolment in secondary. Grade 1. Female|UIS_E_23_GPV_G1_F
Enrolment in secondary. Grade 1. Total|UIS_E_23_GPV_G1
Enrolment in secondary. Grade 10. Female|UIS_E_23_GPV_G10_F
Enrolment in secondary. Grade 10. Total|UIS_E_23_GPV_G10
