HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,Development Bucket
29,Greece,0.866,81.1,17.2,10.5,"24,808",16,29,VERY HIGH HUMAN DEVELOPMENT
30,Brunei Darussalam,0.865,79.0,14.9,9.0,"72,843",-25,30,VERY HIGH HUMAN DEVELOPMENT
30,Estonia,0.865,77.0,16.5,12.5,"26,362",12,31,VERY HIGH HUMAN DEVELOPMENT
32,Andorra,0.858,81.5,13.5,10.3,"47,979",-18,32,VERY HIGH HUMAN DEVELOPMENT
33,Cyprus,0.856,80.3,14.3,11.7,"29,459",4,34,VERY HIGH HUMAN DEVELOPMENT
33,Malta,0.856,80.7,14.6,11.3,"29,500",3,35,VERY HIGH HUMAN DEVELOPMENT
33,Qatar,0.856,78.3,13.4,9.8,"129,916",-32,33,VERY HIGH HUMAN DEVELOPMENT
36,Poland,0.855,77.6,16.4,11.9,"24,117",11,36,VERY HIGH HUMAN DEVELOPMENT
37,Lithuania,0.848,73.5,16.5,12.7,"26,006",7,37,VERY HIGH HUMAN DEVELOPMENT
38,Chile,0.847,82.0,16.3,9.9,"21,665",16,38,VERY HIGH HUMAN DEVELOPMENT
38,Saudi Arabia,0.847,74.4,16.1,9.6,"51,320",-26,38,VERY HIGH HUMAN DEVELOPMENT
40,Slovakia,0.845,76.4,15.0,12.2,"26,764",1,40,VERY HIGH HUMAN DEVELOPMENT
41,Portugal,0.843,81.2,16.6,8.9,"26,104",2,41,VERY HIGH HUMAN DEVELOPMENT
42,United Arab Emirates,0.840,77.1,13.3,9.5,"66,203",-35,42,VERY HIGH HUMAN DEVELOPMENT
43,Hungary,0.836,75.3,15.6,12.0,"23,394",6,43,VERY HIGH HUMAN DEVELOPMENT
44,Latvia,0.830,74.3,16.0,11.7,"22,589",7,44,VERY HIGH HUMAN DEVELOPMENT
45,Argentina,0.827,76.5,17.3,9.9,"20,945",12,45,VERY HIGH HUMAN DEVELOPMENT
45,Croatia,0.827,77.5,15.3,11.2,"20,291",14,46,VERY HIGH HUMAN DEVELOPMENT
47,Bahrain,0.824,76.7,14.5,9.4,"37,236",-19,46,VERY HIGH HUMAN DEVELOPMENT
48,Montenegro,0.807,76.4,15.1,11.3,"15,410",24,49,VERY HIGH HUMAN DEVELOPMENT
49,Russian Federation,0.804,70.3,15.0,12.0,"23,286",1,48,VERY HIGH HUMAN DEVELOPMENT
50,Romania,0.802,74.8,14.7,10.8,"19,428",11,51,VERY HIGH HUMAN DEVELOPMENT
51,Kuwait,0.800,74.5,13.3,7.3,"76,075",-48,50,VERY HIGH HUMAN DEVELOPMENT
52,Belarus,0.796,71.5,15.7,12.0,"15,629",19,51,HIGH HUMAN DEVELOPMENT
52,Oman,0.796,77.0,13.7,8.1,"34,402",-21,53,HIGH HUMAN DEVELOPMENT
54,Barbados,0.795,75.8,15.3,10.5,"14,952",20,54,HIGH HUMAN DEVELOPMENT
54,Uruguay,0.795,77.4,15.5,8.6,"19,148",8,54,HIGH HUMAN DEVELOPMENT
56,Bulgaria,0.794,74.3,15.0,10.8,"16,261",13,57,HIGH HUMAN DEVELOPMENT
56,Kazakhstan,0.794,69.6,15.0,11.7,"22,093",-3,56,HIGH HUMAN DEVELOPMENT
58,Bahamas,0.792,75.6,12.7,10.9,"21,565",-3,58,HIGH HUMAN DEVELOPMENT
59,Malaysia,0.789,74.9,13.1,10.1,"24,620",-13,59,HIGH HUMAN DEVELOPMENT
60,Palau,0.788,72.9,14.3,12.3,"13,771",21,62,HIGH HUMAN DEVELOPMENT
60,Panama,0.788,77.8,13.0,9.9,"19,470",0,60,HIGH HUMAN DEVELOPMENT
62,Antigua and Barbuda,0.786,76.2,13.9,9.2,"20,907",-4,61,HIGH HUMAN DEVELOPMENT
63,Seychelles,0.782,73.3,14.1,9.4,"23,886",-15,63,HIGH HUMAN DEVELOPMENT
64,Mauritius,0.781,74.6,15.2,9.1,"17,948",1,64,HIGH HUMAN DEVELOPMENT
65,Trinidad and Tobago,0.780,70.5,12.7,10.9,"28,049",-25,64,HIGH HUMAN DEVELOPMENT
66,Costa Rica,0.776,79.6,14.2,8.7,"14,006",14,66,HIGH HUMAN DEVELOPMENT
66,Serbia,0.776,75.0,14.4,10.8,"12,202",22,66,HIGH HUMAN DEVELOPMENT
68,Cuba,0.775,79.6,13.9,11.8,"7,455",48,69,HIGH HUMAN DEVELOPMENT
69,Iran (Islamic Republic of),0.774,75.6,14.8,8.8,"16,395",-2,68,HIGH HUMAN DEVELOPMENT
70,Georgia,0.769,75.0,13.9,12.2,"8,856",38,71,HIGH HUMAN DEVELOPMENT
71,Turkey,0.767,75.5,14.6,7.9,"18,705",-7,72,HIGH HUMAN DEVELOPMENT
71,Venezuela (Bolivarian Republic of),0.767,74.4,14.3,9.4,"15,129",2,70,HIGH HUMAN DEVELOPMENT
73,Sri Lanka,0.766,75.0,14.0,10.9,"10,789",21,72,HIGH HUMAN DEVELOPMENT
74,Saint Kitts and Nevis,0.765,74.0,13.7,8.4,"22,436",-22,75,HIGH HUMAN DEVELOPMENT
75,Albania,0.764,78.0,14.2,9.6,"10,252",24,75,HIGH HUMAN DEVELOPMENT
76,Lebanon,0.763,79.5,13.3,8.6,"13,312",8,74,HIGH HUMAN DEVELOPMENT
77,Mexico,0.762,77.0,13.3,8.6,"16,383",-9,77,HIGH HUMAN DEVELOPMENT
78,Azerbaijan,0.759,70.9,12.7,11.2,"16,413",-12,77,HIGH HUMAN DEVELOPMENT
79,Brazil,0.754,74.7,15.2,7.8,"14,145",-1,79,HIGH HUMAN DEVELOPMENT
79,Grenada,0.754,73.6,15.8,8.6,"11,502",13,80,HIGH HUMAN DEVELOPMENT
81,Bosnia and Herzegovina,0.750,76.6,14.2,9.0,"10,091",22,82,HIGH HUMAN DEVELOPMENT
82,The former Yugoslav Republic of Macedonia,0.748,75.5,12.9,9.4,"12,405",5,83,HIGH HUMAN DEVELOPMENT
83,Algeria,0.745,75.0,14.4,7.8,"13,533",-1,84,HIGH HUMAN DEVELOPMENT
84,Armenia,0.743,74.9,12.7,11.3,"8,189",28,85,HIGH HUMAN DEVELOPMENT
84,Ukraine,0.743,71.1,15.3,11.3,"7,361",34,81,HIGH HUMAN DEVELOPMENT
86,Jordan,0.741,74.2,13.1,10.1,"10,111",15,85,HIGH HUMAN DEVELOPMENT
87,Peru,0.740,74.8,13.4,9.0,"11,295",6,89,HIGH HUMAN DEVELOPMENT
87,Thailand,0.740,74.6,13.6,7.9,"14,519",-11,88,HIGH HUMAN DEVELOPMENT
89,Ecuador,0.739,76.1,14.0,8.3,"10,536",6,87,HIGH HUMAN DEVELOPMENT
90,China,0.738,76.0,13.5,7.6,"13,345",-7,91,HIGH HUMAN DEVELOPMENT
91,Fiji,0.736,70.2,15.3,10.5,"8,245",20,91,HIGH HUMAN DEVELOPMENT
92,Mongolia,0.735,69.8,14.8,9.8,"10,449",4,93,HIGH HUMAN DEVELOPMENT
92,Saint Lucia,0.735,75.2,13.1,9.3,"9,791",14,90,HIGH HUMAN DEVELOPMENT
94,Jamaica,0.730,75.8,12.8,9.6,"8,350",16,94,HIGH HUMAN DEVELOPMENT
95,Colombia,0.727,74.2,13.6,7.6,"12,762",-10,95,HIGH HUMAN DEVELOPMENT
96,Dominica,0.726,77.9,12.8,7.9,"10,096",6,95,HIGH HUMAN DEVELOPMENT
97,Suriname,0.725,71.3,12.7,8.3,"16,018",-27,97,HIGH HUMAN DEVELOPMENT
97,Tunisia,0.725,75.0,14.6,7.1,"10,249",3,97,HIGH HUMAN DEVELOPMENT
99,Dominican Republic,0.722,73.7,13.2,7.7,"12,756",-13,101,HIGH HUMAN DEVELOPMENT
99,Saint Vincent and the Grenadines,0.722,73.0,13.3,8.6,"10,372",-1,99,HIGH HUMAN DEVELOPMENT
101,Tonga,0.721,73.0,14.3,11.1,"5,284",33,101,HIGH HUMAN DEVELOPMENT
102,Libya,0.716,71.8,13.4,7.3,"14,303",-25,100,HIGH HUMAN DEVELOPMENT
103,Belize,0.706,70.1,12.8,10.5,"7,375",14,103,HIGH HUMAN DEVELOPMENT
104,Samoa,0.704,73.7,12.9,10.3,"5,372",27,104,HIGH HUMAN DEVELOPMENT
105,Maldives,0.701,77.0,12.7,6.2,"10,383",-8,105,HIGH HUMAN DEVELOPMENT
105,Uzbekistan,0.701,69.4,12.2,12.0,"5,748",21,108,HIGH HUMAN DEVELOPMENT
107,Moldova (Republic of),0.699,71.7,11.8,11.9,"5,026",31,105,MEDIUM HUMAN DEVELOPMENT
108,Botswana,0.698,64.5,12.6,9.2,"14,663",-33,107,MEDIUM HUMAN DEVELOPMENT
109,Gabon,0.697,64.9,12.6,8.1,"19,044",-46,109,MEDIUM HUMAN DEVELOPMENT
110,Paraguay,0.693,73.0,12.3,8.1,"8,182",3,110,MEDIUM HUMAN DEVELOPMENT
111,Egypt,0.691,71.3,13.1,7.1,"10,064",-7,111,MEDIUM HUMAN DEVELOPMENT
111,Turkmenistan,0.691,65.7,10.8,9.9,"14,026",-32,111,MEDIUM HUMAN DEVELOPMENT
113,Indonesia,0.689,69.1,12.9,7.9,"10,053",-8,113,MEDIUM HUMAN DEVELOPMENT
114,"Palestine, State of",0.684,73.1,12.8,8.9,"5,256",21,115,MEDIUM HUMAN DEVELOPMENT
115,Viet Nam,0.683,75.9,12.6,8.0,"5,335",18,115,MEDIUM HUMAN DEVELOPMENT
116,Philippines,0.682,68.3,11.7,9.3,"8,395",-7,114,MEDIUM HUMAN DEVELOPMENT
117,El Salvador,0.680,73.3,13.2,6.5,"7,732",-3,115,MEDIUM HUMAN DEVELOPMENT
118,Bolivia (Plurinational State of),0.674,68.7,13.8,8.2,"6,155",6,118,MEDIUM HUMAN DEVELOPMENT
119,South Africa,0.666,57.7,13.0,10.3,"12,087",-30,119,MEDIUM HUMAN DEVELOPMENT
120,Kyrgyzstan,0.664,70.8,13.0,10.8,"3,097",32,120,MEDIUM HUMAN DEVELOPMENT
121,Iraq,0.649,69.6,10.1,6.6,"11,608",-30,121,MEDIUM HUMAN DEVELOPMENT
122,Cabo Verde,0.648,73.5,13.5,4.8,"6,049",3,122,MEDIUM HUMAN DEVELOPMENT
123,Morocco,0.647,74.3,12.1,5.0,"7,195",-4,123,MEDIUM HUMAN DEVELOPMENT
124,Nicaragua,0.645,75.2,11.7,6.5,"4,747",16,124,MEDIUM HUMAN DEVELOPMENT
125,Guatemala,0.640,72.1,10.7,6.3,"7,063",-4,126,MEDIUM HUMAN DEVELOPMENT
125,Namibia,0.640,65.1,11.7,6.7,"9,770",-18,126,MEDIUM HUMAN DEVELOPMENT
127,Guyana,0.638,66.5,10.3,8.4,"6,884",-5,125,MEDIUM HUMAN DEVELOPMENT
127,Micronesia (Federated States of),0.638,69.3,11.7,9.7,"3,291",22,126,MEDIUM HUMAN DEVELOPMENT
129,Tajikistan,0.627,69.6,11.3,10.4,"2,601",30,129,MEDIUM HUMAN DEVELOPMENT
130,Honduras,0.625,73.3,11.2,6.2,"4,466",11,130,MEDIUM HUMAN DEVELOPMENT
131,India,0.624,68.3,11.7,6.3,"5,663",-4,131,MEDIUM HUMAN DEVELOPMENT
132,Bhutan,0.607,69.9,12.5,3.1,"7,081",-12,132,MEDIUM HUMAN DEVELOPMENT
133,Timor-Leste,0.605,68.5,12.5,4.4,"5,371",-1,133,MEDIUM HUMAN DEVELOPMENT
134,Vanuatu,0.597,72.1,10.8,6.8,"2,805",23,134,MEDIUM HUMAN DEVELOPMENT
135,Congo,0.592,62.9,11.1,6.3,"5,503",-7,135,MEDIUM HUMAN DEVELOPMENT
135,Equatorial Guinea,0.592,57.9,9.2,5.5,"21,517",-79,137,MEDIUM HUMAN DEVELOPMENT
137,Kiribati,0.588,66.2,11.9,7.8,"2,475",23,136,MEDIUM HUMAN DEVELOPMENT
138,Lao People's Democratic Republic,0.586,66.6,10.8,5.2,"5,049",-2,137,MEDIUM HUMAN DEVELOPMENT
139,Bangladesh,0.579,72.0,10.2,5.2,"3,341",8,140,MEDIUM HUMAN DEVELOPMENT
139,Ghana,0.579,61.5,11.5,6.9,"3,839",5,140,MEDIUM HUMAN DEVELOPMENT
139,Zambia,0.579,60.8,12.5,6.9,"3,464",7,139,MEDIUM HUMAN DEVELOPMENT
142,Sao Tome and Principe,0.574,66.6,12.0,5.3,"3,070",12,142,MEDIUM HUMAN DEVELOPMENT
143,Cambodia,0.563,68.8,10.9,4.7,"3,095",10,143,MEDIUM HUMAN DEVELOPMENT
144,Nepal,0.558,70.0,12.2,4.1,"2,337",19,144,MEDIUM HUMAN DEVELOPMENT
145,Myanmar,0.556,66.1,9.1,4.7,"4,943",-6,146,MEDIUM HUMAN DEVELOPMENT
146,Kenya,0.555,62.2,11.1,6.3,"2,881",10,147,MEDIUM HUMAN DEVELOPMENT
147,Pakistan,0.550,66.4,8.1,5.1,"5,031",-10,148,MEDIUM HUMAN DEVELOPMENT
148,Swaziland,0.541,48.9,11.4,6.8,"7,522",-33,149,LOW HUMAN DEVELOPMENT
149,Syrian Arab Republic,0.536,69.7,9.0,5.1,"2,441",13,145,LOW HUMAN DEVELOPMENT
150,Angola,0.533,52.7,11.4,5.0,"6,291",-27,150,LOW HUMAN DEVELOPMENT
151,Tanzania (United Republic of),0.531,65.5,8.9,5.8,"2,467",10,152,LOW HUMAN DEVELOPMENT
152,Nigeria,0.527,53.1,10.0,6.0,"5,443",-23,151,LOW HUMAN DEVELOPMENT
153,Cameroon,0.518,56.0,10.4,6.1,"2,894",2,154,LOW HUMAN DEVELOPMENT
154,Papua New Guinea,0.516,62.8,9.9,4.3,"2,712",4,153,LOW HUMAN DEVELOPMENT
154,Zimbabwe,0.516,59.2,10.3,7.7,"1,588",20,158,LOW HUMAN DEVELOPMENT
156,Solomon Islands,0.515,68.1,9.6,5.3,"1,561",19,155,LOW HUMAN DEVELOPMENT
157,Mauritania,0.513,63.2,8.5,4.3,"3,527",-12,155,LOW HUMAN DEVELOPMENT
158,Madagascar,0.512,65.5,10.3,6.1,"1,320",25,157,LOW HUMAN DEVELOPMENT
159,Rwanda,0.498,64.7,10.8,3.8,"1,617",14,162,LOW HUMAN DEVELOPMENT
160,Comoros,0.497,63.6,11.1,4.8,"1,335",22,160,LOW HUMAN DEVELOPMENT
160,Lesotho,0.497,50.1,10.7,6.1,"3,319",-12,161,LOW HUMAN DEVELOPMENT
162,Senegal,0.494,66.9,9.5,2.8,"2,250",3,163,LOW HUMAN DEVELOPMENT
163,Haiti,0.493,63.1,9.1,5.2,"1,657",9,164,LOW HUMAN DEVELOPMENT
163,Uganda,0.493,59.2,10.0,5.7,"1,670",8,165,LOW HUMAN DEVELOPMENT
165,Sudan,0.490,63.7,7.2,3.5,"3,846",-22,165,LOW HUMAN DEVELOPMENT
166,Togo,0.487,60.2,12.0,4.7,"1,262",18,167,LOW HUMAN DEVELOPMENT
167,Benin,0.485,59.8,10.7,3.5,"1,979",1,168,LOW HUMAN DEVELOPMENT
168,Yemen,0.482,64.1,9.0,3.0,"2,300",-4,159,LOW HUMAN DEVELOPMENT
169,Afghanistan,0.479,60.7,10.1,3.6,"1,871",1,169,LOW HUMAN DEVELOPMENT
170,Malawi,0.476,63.9,10.8,4.4,"1,073",16,170,LOW HUMAN DEVELOPMENT
171,Côte d'Ivoire,0.474,51.9,8.9,5.0,"3,163",-20,172,LOW HUMAN DEVELOPMENT
172,Djibouti,0.473,62.3,6.3,4.1,"3,216",-22,171,LOW HUMAN DEVELOPMENT
173,Gambia,0.452,60.5,8.9,3.3,"1,541",3,173,LOW HUMAN DEVELOPMENT
174,Ethiopia,0.448,64.6,8.4,2.6,"1,523",5,174,LOW HUMAN DEVELOPMENT
175,Mali,0.442,58.5,8.4,2.3,"2,218",-9,175,LOW HUMAN DEVELOPMENT
176,Congo (Democratic Republic of the),0.435,59.1,9.8,6.1,680,15,178,LOW HUMAN DEVELOPMENT
177,Liberia,0.427,61.2,9.9,4.4,683,13,177,LOW HUMAN DEVELOPMENT
178,Guinea-Bissau,0.424,55.5,9.2,2.9,"1,369",3,179,LOW HUMAN DEVELOPMENT
179,Eritrea,0.420,64.2,5.0,3.9,"1,490",1,181,LOW HUMAN DEVELOPMENT
179,Sierra Leone,0.420,51.3,9.5,3.3,"1,529",-1,176,LOW HUMAN DEVELOPMENT
181,Mozambique,0.418,55.5,9.1,3.5,"1,098",4,182,LOW HUMAN DEVELOPMENT
181,South Sudan,0.418,56.1,4.9,4.8,"1,882",-12,179,LOW HUMAN DEVELOPMENT
183,Guinea,0.414,59.2,8.8,2.6,"1,058",4,182,LOW HUMAN DEVELOPMENT
184,Burundi,0.404,57.1,10.6,3.0,691,5,184,LOW HUMAN DEVELOPMENT
185,Burkina Faso,0.402,59.0,7.7,1.4,"1,537",-8,185,LOW HUMAN DEVELOPMENT
186,Chad,0.396,51.9,7.3,2.3,"1,991",-19,186,LOW HUMAN DEVELOPMENT
187,Niger,0.353,61.9,5.4,1.7,889,1,187,LOW HUMAN DEVELOPMENT
188,Central African Republic,0.352,51.5,7.1,4.2,587,4,188,LOW HUMAN DEVELOPMENT
